s1,class1,ex1,s2,class2,ex2,score
18110164,08CLC,Ex7,15110134,08CLC,Ex1,0.668264942124803
18110164,08CLC,Ex7,15110134,08CLC,Ex3,0.8867936036458203
18110164,08CLC,Ex7,15110134,08CLC,Ex2,0.9036264890030529
18110164,08CLC,Ex7,15110134,08CLC,Ex4,0.8262707156439623
18110164,08CLC,Ex7,15110353,04DT,Ex7,0.8457785306607976
18110164,08CLC,Ex7,15110353,04DT,Ex5,0.8733498035767756
18110164,08CLC,Ex7,15110353,04DT,Ex1,0.7123048755785694
18110164,08CLC,Ex7,15110353,04DT,Ex8,0.8810090013217218
18110164,08CLC,Ex7,15110353,04DT,Ex6,0.8229859239140223
18110164,08CLC,Ex7,15110353,04DT,Ex4,0.8775333938273516
18110164,08CLC,Ex7,16110253,09CLC,Ex1,0.6593428746212361
18110164,08CLC,Ex7,16110253,09CLC,Ex3,0.908540534377098
18110164,08CLC,Ex7,16110253,09CLC,Ex2,0.9289439706241384
18110164,08CLC,Ex7,16110253,09CLC,Ex4,0.9033222553926871
18110164,08CLC,Ex7,16110261,08CLC,Ex5,0.8369004112174253
18110164,08CLC,Ex7,16110261,08CLC,Ex1,0.8589916655963118
18110164,08CLC,Ex7,16110261,08CLC,Ex2,0.912841833528431
18110164,08CLC,Ex7,16110261,08CLC,Ex6,0.8643379154465711
18110164,08CLC,Ex7,16110261,08CLC,Ex4,0.837458498775959
18110164,08CLC,Ex7,16110585,08CLC,Ex1,0.6613421298043672
18110164,08CLC,Ex7,16119045,09CLC,Ex5,0.8509359451180155
18110164,08CLC,Ex7,16119045,09CLC,Ex1,0.6693341048122141
18110164,08CLC,Ex7,16119045,09CLC,Ex3,0.8957692671055887
18110164,08CLC,Ex7,16119045,09CLC,Ex2,0.9383560139012624
18110164,08CLC,Ex7,16119045,09CLC,Ex6,0.8627530795590886
18110164,08CLC,Ex7,16119045,09CLC,Ex4,0.8999878781513103
18110164,08CLC,Ex7,17110010,02CLC,Ex7,0.768580569659622
18110164,08CLC,Ex7,17110010,02CLC,Ex5,0.7931892456752914
18110164,08CLC,Ex7,17110010,02CLC,Ex1,0.670645624046495
18110164,08CLC,Ex7,17110010,02CLC,Ex3,0.8040771392675546
18110164,08CLC,Ex7,17110010,02CLC,Ex8,0.7555041169585968
18110164,08CLC,Ex7,17110010,02CLC,Ex2,0.8724963417254299
18110164,08CLC,Ex7,17110010,02CLC,Ex6,0.791418468623257
18110164,08CLC,Ex7,17110010,02CLC,Ex4,0.8040771392675546
18110164,08CLC,Ex7,17110021,01CLC,Ex2,0.8758870653808117
18110164,08CLC,Ex7,17110030,01CLC,Ex7,0.821802669095582
18110164,08CLC,Ex7,17110030,01CLC,Ex5,0.8089847088975702
18110164,08CLC,Ex7,17110030,01CLC,Ex1,0.6665234820144933
18110164,08CLC,Ex7,17110030,01CLC,Ex3,0.8131744653548835
18110164,08CLC,Ex7,17110030,01CLC,Ex8,0.7430923930216283
18110164,08CLC,Ex7,17110030,01CLC,Ex2,0.8472816696898504
18110164,08CLC,Ex7,17110030,01CLC,Ex6,0.8014802406013231
18110164,08CLC,Ex7,17110030,01CLC,Ex4,0.7946409620998198
18110164,08CLC,Ex7,17110033,02CLC,Ex7,0.777272435089389
18110164,08CLC,Ex7,17110033,02CLC,Ex5,0.7909153387313936
18110164,08CLC,Ex7,17110033,02CLC,Ex1,0.6646459306989397
18110164,08CLC,Ex7,17110033,02CLC,Ex3,0.8196250898418603
18110164,08CLC,Ex7,17110033,02CLC,Ex8,0.7536006568405039
18110164,08CLC,Ex7,17110033,02CLC,Ex2,0.8779944003402412
18110164,08CLC,Ex7,17110033,02CLC,Ex6,0.7820778048038483
18110164,08CLC,Ex7,17110033,02CLC,Ex4,0.8228995339870453
18110164,08CLC,Ex7,17110048,02CLC,Ex7,0.7787106524851993
18110164,08CLC,Ex7,17110048,02CLC,Ex5,0.8170990480676942
18110164,08CLC,Ex7,17110048,02CLC,Ex1,0.6714734001593157
18110164,08CLC,Ex7,17110048,02CLC,Ex3,0.8186954933780808
18110164,08CLC,Ex7,17110048,02CLC,Ex8,0.7430923930216283
18110164,08CLC,Ex7,17110048,02CLC,Ex2,0.8685531539075515
18110164,08CLC,Ex7,17110048,02CLC,Ex6,0.7884287680237994
18110164,08CLC,Ex7,17110048,02CLC,Ex4,0.8228995339870453
18110164,08CLC,Ex7,17110049,02CLC,Ex5,0.7884688020678999
18110164,08CLC,Ex7,17110049,02CLC,Ex1,0.6594488021324981
18110164,08CLC,Ex7,17110049,02CLC,Ex3,0.8088781248059189
18110164,08CLC,Ex7,17110049,02CLC,Ex2,0.8696523783383546
18110164,08CLC,Ex7,17110049,02CLC,Ex6,0.7608745395701532
18110164,08CLC,Ex7,17110049,02CLC,Ex4,0.7863427512958402
18110164,08CLC,Ex7,17110059,02CLC,Ex7,0.7889992784953712
18110164,08CLC,Ex7,17110059,02CLC,Ex5,0.8039843560615404
18110164,08CLC,Ex7,17110059,02CLC,Ex1,0.6666032405836242
18110164,08CLC,Ex7,17110059,02CLC,Ex3,0.8119208329128769
18110164,08CLC,Ex7,17110059,02CLC,Ex8,0.7591085635176321
18110164,08CLC,Ex7,17110059,02CLC,Ex2,0.8744092430919409
18110164,08CLC,Ex7,17110059,02CLC,Ex6,0.7831933882306604
18110164,08CLC,Ex7,17110059,02CLC,Ex4,0.8001139542330866
